text,label
"This product is absolutely amazing! Best purchase I've ever made.",1
"Terrible quality. Complete waste of money. Very disappointed.",0
"I love this! Exceeded all my expectations. Highly recommended!",1
"Awful experience. Would not recommend to anyone.",0
"Fantastic product! Works perfectly and great value.",1
"Very poor quality. Broke after one week of use.",0
"Outstanding service and excellent product quality!",1
"Don't buy this garbage. Total disappointment.",0
"I'm so happy with this purchase. Five stars!",1
"Horrible! Nothing works as advertised. Save your money.",0
"Brilliant! This is exactly what I needed. Thank you!",1
"Extremely dissatisfied. The worst product I've ever bought.",0
"Amazing quality and fast shipping. Will buy again!",1
"Complete rubbish. Customer service was also terrible.",0
"Wonderful experience from start to finish. Love it!",1
"Poor quality materials. Falls apart easily.",0
"Impressed with the quality. Money well spent!",1
"Useless product. Doesn't work at all.",0
"Great product! Arrived quickly and works perfectly.",1
"Very disappointed with my purchase. Not worth the price.",0
"Excellent! Everything I hoped for and more.",1
"Waste of time and money. Avoid this product.",0
"Super happy customer here! Amazing product!",1
"Terrible. Just terrible. Never buying again.",0
"Absolutely love it! Great quality and design.",1
"Broken on arrival. Requested refund immediately.",0
"Perfect! Exactly as described and works great.",1
"Poor craftsmanship. Very cheaply made product.",0
"Highly recommend this product to everyone!",1
"Not worth a single penny. Total scam.",0
"Best thing I've bought this year! So good!",1
"Disappointed beyond words. Such poor quality.",0
"Really pleased with my purchase. Thank you!",1
"Avoid at all costs. Horrible experience.",0
"Fantastic value for money. Exceeded expectations!",1
"Defective product. Complete waste of money.",0
"Love love love this product! Amazing!",1
"Regret buying this. Absolute garbage.",0
"Superb quality and excellent service!",1
"The quality is appalling. Very unhappy.",0
"This is great! Works like a charm.",1
"Terrible product. Terrible service. Never again.",0
"Very satisfied customer. Will recommend to friends!",1
"Cheaply made junk. Save your money.",0
"Outstanding product! Could not be happier!",1
"Disgusting quality. Falling apart already.",0
"A wonderful purchase. Thank you so much!",1
"Absolutely dreadful. The worst ever.",0
"Five stars! Perfect in every way!",1
"One star is too much for this garbage.",0
"Incredible product! So glad I bought it.",1
"Total letdown. Nothing like the description.",0
"Best purchase ever! Highly recommend!",1
"Nightmare experience. Stay away!",0
"Really happy with this! Great job!",1
"Pathetic quality. Embarrassing product.",0
"Exceeded all expectations! Wonderful!",1
"Shocking quality. Demand a refund.",0
"Perfect product for the price. Love it!",1
"Utter rubbish. Don't make my mistake.",0
"Thrilled with my purchase! Excellent!",1
"Dreadful experience from start to finish.",0
"Amazing! Just what I was looking for!",1
"Horrible quality. Very poorly made.",0
"So pleased! Great product, fast delivery!",1
"Total disaster. Avoid this seller.",0
"Wonderful product! Highly recommended!",1
"Terrible quality control. Very disappointed.",0
"Brilliant purchase! Five stars deserved!",1
"Awful product. Worst purchase ever made.",0
"Extremely happy! This is fantastic!",1
"Rubbish. Complete and utter rubbish.",0
"Great value and excellent quality!",1
"Badly made. Cheap materials used.",0
"Love this product! So glad I found it!",1
"Stay away from this product. Terrible.",0
"Perfect! Works exactly as expected!",1
"Disgraceful quality. Want my money back.",0
"Fantastic buy! Really pleased!",1
"Appalling service and product quality.",0
"Best product I've purchased in years!",1
"Completely useless. Total waste.",0
"Superb! Could not ask for more!",1
"Nightmare product. Avoid at all costs.",0
"Very impressed! Excellent quality!",1
"Garbage product. Garbage company.",0
"Outstanding value! So happy!",1
"Horrendous experience. Never again.",0
"Amazing find! Works perfectly!",1
"Disappointed customer. Poor quality.",0
"This is incredible! Love everything!",1
"Dreadful. Just dreadful. Avoid.",0
"Perfect purchase! Thank you!",1
"Terrible product. Terrible price.",0
"Highly satisfied! Great product!",1
"Worst experience ever. Shocking.",0
"Wonderful! Exceeded expectations!",1
"Awful. Just awful. No stars.",0
"Best ever! Absolutely love it!",1
"Complete disappointment. Avoid.",0
"Fantastic! Great quality product!",1
"Horrible. Don't waste your money.",0
